,Real summarize,Category
0,"Struggling Japanese car maker Mitsubishi Motors has struck a deal to supply French car maker Peugeot with 30,000 sports utility vehicles (SUV).Mitsubishi Motors has forecast a net loss of 472bn yen in its current financial year to March 2005.Last month, it signed a production agreement with Japanese rival Nissan Motor to supply it with 36,000 small cars for sale in Japan.In January, Mitsubishi Motors issued its third profits warning in nine months, and cut its sales forecasts for the year to March 2005.Falling sales have left Mitsubishi Motors with underused capacity, and the production deal with Peugeot gives it a chance to utilise some of it.As a result, the Japanese car maker has sought a series of financial bailouts.",business
1,"Shares of Sumitomo Mitsui Financial (SMFG), and Daiwa Securities jumped amid speculation that two of Japan's biggest financial companies will merge.SMFG President Yoshifumi Nishikawa said that the companies needed to bolster their businesses.Combining SMFG, Japan's third-biggest lender, and Daiwa, the country's second-largest brokerage firm, would create a company with assets of more than $1,000bn (???œ537bn).SMFG shares climbed by 2.7% to 717,000, and Daiwa added 5.3% to 740 yen.Daiwa said that ""although it is true that the two groups have been engaging in various discussions to enhance cooperation, there are no plans to enter into negotiations to consolidate the two businesses"".",business
2,"Mr Sullivan is at the centre of the government's case against Mr Ebbers.However, on Monday Mr Sullivan named Mr Ebbers as one of five executives who participated in the accounting fraud.Mr Sullivan, WorldCom's former number two, is the government's chief witness in its case against Mr Ebbers.Mr Sullivan, 42, pleaded guilty to fraud last year and agreed to assist the government with its case against Mr Ebbers.Mr Ebbers has denied all the charges, saying he was unaware of the fraud.Prosecutors have alleged that Mr Ebbers, 63, directed Mr Sullivan to hide the true state of the company's finances by providing false information to the firm's accountants.Mr Ebbers has denied multiple charges of conspiracy and fraud.""He [Ebbers] has got a hands-on grasp of financial information,"" Mr Sullivan told a New York court.Mr Sullivan said his former boss knew more about accounting matters than many chief financial officers and described him as ""detail-oriented"".",business
3,"Shares in UK banking group Barclays have risen on Monday following a weekend press report that it had held merger talks with US bank Wells Fargo.A tie-up between Barclays and California-based Wells Fargo would create the world's fourth biggest bank, valued at $180bn (???œ96bn).UK banking icon Barclays was founded more than 300 years ago; it has operations in over 60 countries and employs 76,200 staff worldwide.Barclays has declined to comment on the report in the Sunday Express, saying it does not respond to market speculation.In 2003, Barclays reported a 20% rise in pre-tax profits to ???œ3.8bn, and it has recently forecast similar gains in 2004, predicting that full year pre-tax profits would rise 18% to ???œ4.5bn.",business
4,"The company should now be able put this dispute behind it, with the departure of Mr Camus and with the clear support given to Mr Forgeard by the Lagardere group, the main French shareholder of EADS.The other main shareholders of EADS are the French government (15%) , who also support Mr Forgeard, and Germany's DaimlerChrysler (30%).Mr Camus said in a statement that he has accepted the invitation to return full-time to the Lagardere group, which owns 30% of EADS.Fighting between Mr Camus and Mr Forgeard has hit the headlines in France and analysts feared that this fighting could destabilise the defence and aerospace group.But Mr Forgeard has denied this, telling French media that there is no current overrun in the budget.The French co-head of European defence and aerospace group EADS Philippe Camus is to leave his post.",business
5,"Federal Reserve chairman Alan Greenspan has warned that allowing huge US budget deficits to continue could have ""severe"" consequences.He also urged Congress to reinstate lapsed rules that require tax cuts and spending to be offset elsewhere in the budget in an effort to prevent the US heading further into the red.While the US economy is growing at a ""reasonably good pace"" he warned that budget concerns were clouding the economic outlook for the US.Meanwhile any move to narrow the deficit gap by raising taxes could pose a significant risk to the economy by dampening growth and spending, he added.Speaking to the House Budget Committee he urged Congress to take action to cut the deficit, such as increasing taxes.As US growth gathers steam and incomes rise that should lead to a narrowing of the deficit.",business
6,"Andrew Beh, of brokers ING, said UPS and Deutsche Post were the most likely bidders and an offer of 950p a share would be fair if a bidding battle did not break out.The talk in the City is that US giant United Parcel Services (UPS) is the most likely bidder for the firm.Yet other names mentioned in connection to buying Exel are DHL-owner Deutsche Post and finance firm GE Capital.Shares in storage and delivery firm Exel closed up 9% at a two-and-a-half year high on Tuesday on speculation it is to receive an imminent takeover bid.",business
7,"Mr Bell took over as chief executive after his predecessor as CEO, Jim Cantalupo, died suddenly of a heart attack in April.Mr Bell leaves a wife and daughter.Having worked closely with Mr Cantalupo, who came out of retirement to turn McDonald's around, Mr Bell focused on boosting demand at existing restaurants rather than follow a policy of rapid expansion.Charlie Bell, the straight-talking former head of fast-food giant McDonald's, has died of cancer aged 44.Mr Bell oversaw McDonald's ""I'm lovin' it"" advertising campaign and introduced successes such as McCafe, now the biggest coffee shop brand in Australia and New Zealand.Joining the company as a 15-year-old part-time worker, Mr Bell quickly moved through its ranks, becoming Australia's youngest store manager at 19.Colleagues said that Mr Bell was proud of his humble beginnings, helping out behind cash tills and clearing tables when visiting restaurants.",business
8,"A US bank has said it will donate more than $8m to victims of former Chilean military ruler Augusto Pinochet's regime under a Madrid court settlement.The bank had been accused of illegally concealing Gen Pinochet's assets.Last month in a US court, Riggs Bank pleaded guilty to failing to report suspicious activity relating to accounts held by Gen Pinochet and the government of Equatorial Guinea.The bank agreed to create a fund for the victims, but the charges were dropped.The general's opponents rejoiced at the settlement, which was agreed in a court in the Spanish capital, Madrid.Riggs Bank will put money in a special fund to be managed by a Madrid-based charity, the Salvador Allende Foundation, which helps abused victims.",business
9,"And ILO-based figures also suggest that 14,000 new net jobs were created that month, taking the number of people employed to 38.9 million.Using the most internationally-accepted methodology of the International Labour Organisation (ILO), Germany had 3.97 million people out of work in January.Adjusted for seasonal changes, the overall unemployment rate is 4.875 million people or 11.7%, up 0.3 percentage points from the previous month.More than 5.2 million Germans were out of work in February, new figures show.The figure of 5.216 million people, or 12.6% of the working-age population, is the highest jobless rate in Europe's biggest economy since the 1930s.The soaring official unemployment figure follows a change in the methodology which pushed up the jobless rate by more than 500,000 in January.",business
