,articles,summaries,categories
0,"Wal-Mart to pay $14m in gun suit The world's largest retailer, Wal-Mart, has agreed to pay a total of $14.5m (Â£7.74m) to settle a lawsuit over gun sales violations in California. The lawsuit alleged Wal-Mart committed thousands of gun sales violations in California between 2000 and 2003. The total payment includes $5m in fines and more than $4m to fund state compliance checks with gun laws and prevent ammunition sales to minors. Wal-Mart agreed to suspend firearms sales in its California stores in 2003, The alleged violations included the sale of guns to 23 people who were not allowed to possess them, and delivering 36 guns to customers who acquired them for people not allowed to own firearms. Although Wal-Mart has suspended firearms sales in the state, California attorney general Bill Lockyer said he wanted to be sure the giant supermarket chain would follow state rules in future. ""Wal-Mart's failure to comply with gun safety laws put the lives of all Californians at risk by placing guns in the hands of criminals and other prohibited persons,"" said Mr Lockyer. ""Although Wal-Mart has suspended gun sales in California, this settlement will ensure that it follows state law if it renews sales and will also provide valuable public education about the importance of gun safety."" The world's largest retailer has not yet decided whether to resume firearms sales in California, company spokesman Gus Whitcomb said.
","""Although Wal-Mart has suspended gun sales in California, this settlement will ensure that it follows state law if it renews sales and will also provide valuable public education about the importance of gun safety.""The world's largest retailer, Wal-Mart, has agreed to pay a total of $14.5m (Â£7.74m) to settle a lawsuit over gun sales violations in California.The lawsuit alleged Wal-Mart committed thousands of gun sales violations in California between 2000 and 2003.Wal-Mart agreed to suspend firearms sales in its California stores in 2003,  The alleged violations included the sale of guns to 23 people who were not allowed to possess them, and delivering 36 guns to customers who acquired them for people not allowed to own firearms.",business
1,"S Korean consumers spending again South Korea looks set to sustain its revival thanks to renewed private consumption, its central bank says. The country's economy has suffered from an overhang of personal debt after its consumers' credit card spending spree. Card use fell sharply last year, but is now picking up again with a rise in spending of 14.8% year-on-year. ""The economy is now heading upward rather than downward,"" said central bank governor Park Seung. ""The worst seems to have passed."" Mr Park's statement came as the bank decided to keep interest rates at an all-time low of 3.25%. It had cut rates in November to help revive the economy, but rising inflation - reaching 0.7% month-on-month in January - has stopped it from cutting further. Economic growth in 2004 was about 4.7%, with the central bank predicting 4% growth this year. Other indicators are also suggesting that the country is inching back towards economic health. Exports - traditionally the driver for expansion in Asian economies - grew slower in January than at any time in 17 months. But domestic demand seems to be taking up the slack. Consumer confidence has bounced back from a four-year low in January, and retail sales were up 2.1% in December. Credit card debt is falling, with only one in 13 of the 48 million cards now in default - down from one in eight at the end of 2003. One of its biggest card issuers, LG Card, was rescued from collapse in December, having almost imploded under the weight of its customers' bad debts. The government last year tightened the rules for card lending to keep the card glut under control.
","The country's economy has suffered from an overhang of personal debt after its consumers' credit card spending spree.The government last year tightened the rules for card lending to keep the card glut under control.Credit card debt is falling, with only one in 13 of the 48 million cards now in default - down from one in eight at the end of 2003.One of its biggest card issuers, LG Card, was rescued from collapse in December, having almost imploded under the weight of its customers' bad debts.Economic growth in 2004 was about 4.7%, with the central bank predicting 4% growth this year.Card use fell sharply last year, but is now picking up again with a rise in spending of 14.8% year-on-year.",business
2,"Orange colour clash set for court A row over the colour orange could hit the courts after mobile phone giant Orange launched action against a new mobile venture from Easyjet's founder. Orange said it was starting proceedings against the Easymobile service for trademark infringement. Easymobile uses Easygroup's orange branding. Founder Stelios Haji-Ioannou has pledged to contest the action. The move comes after the two sides failed to come to an agreement after six months of talks. Orange claims the new low-cost mobile service has infringed its rights regarding the use of the colour orange and could confuse customers - known as ""passing off"". ""Our brand, and the rights associated with it are extremely important to us,"" Orange said in a statement. ""In the absence of any firm commitment from Easy, we have been left with no choice but to start an action for trademark infringement and passing off."" However, Mr Haji-Ioannou, who plans to launch Easymobile next month, vowed to fight back, saying: ""We have nothing to be afraid of in this court case. ""It is our right to use our own corporate colour for which we have become famous during the last 10 years."" The Easyjet founder also said he planned to add a disclaimer to the Easygroup website to ensure customers are aware the Easymobile brand has no connection to Orange. The new service is the latest venture from Easygroup, which includes a chain of internet cafes, budget car rentals and an intercity bus service. Easymobile will allow customers to go online to order SIM cards and airtime - which will be rented from T-Mobile - for their existing handsets.
","Orange claims the new low-cost mobile service has infringed its rights regarding the use of the colour orange and could confuse customers - known as ""passing off"".Orange said it was starting proceedings against the Easymobile service for trademark infringement.A row over the colour orange could hit the courts after mobile phone giant Orange launched action against a new mobile venture from Easyjet's founder.The Easyjet founder also said he planned to add a disclaimer to the Easygroup website to ensure customers are aware the Easymobile brand has no connection to Orange.Easymobile uses Easygroup's orange branding.""Our brand, and the rights associated with it are extremely important to us,"" Orange said in a statement.",business
3,"Survey confirms property slowdown Government figures have confirmed a widely reported slowdown of the UK's housing market in late 2004. House prices were 11.8% higher on the year in the last quarter of 2004, down from 16.3% in the July-to-September quarter, the Land Registry said. The average house price in England and Wales was Â£182,920, down from Â£187,971 in July-September. The volume of sales between October and December dropped by nearly a quarter from the same period in 2003. The government figures are the first official confirmation of falls in the market at the end of 2004. Land Registry figures are less up to date than those of banks and building societies, since they record completions not mortgage approvals. However, the figures are viewed as the most accurate measure of house prices as they include all property transactions, including cash sales. The cost of buying a home fell in seven out of 10 regions between the third and fourth quarters of 2004. The biggest annual gains were made in Wales, where house prices were up by 23% in the fourth quarter. House prices rose the slowest in Greater London, being up by 6%. In the capital, the volume of sales fell by 23% from 36,185 in 2003 to 28,041 for the same period in 2004. There was also a decline in the number of million-pound properties sold in the capital, with 436 properties over Â£1m sold compared to 469 for the same period in 2003. Although the figures point to a slowdown in the market, the most recent surveys from Nationwide and Halifax have indicated the market may be undergoing a revival. After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year. Members of the Bank of England's rate-setting committee will make their latest decision on interest rates on Thursday.
","House prices were 11.8% higher on the year in the last quarter of 2004, down from 16.3% in the July-to-September quarter, the Land Registry said.The biggest annual gains were made in Wales, where house prices were up by 23% in the fourth quarter.After registering falls at the back end of 2004, Halifax said house prices rose by 0.8% in January and Nationwide reported a rise of 0.4% in the first month of the year.However, the figures are viewed as the most accurate measure of house prices as they include all property transactions, including cash sales.The average house price in England and Wales was Â£182,920, down from Â£187,971 in July-September.House prices rose the slowest in Greater London, being up by 6%.",business
4,"UK homes hit Â£3.3 trillion total The value of the UK's housing stock reached the Â£3.3 trillion mark in 2004 - triple the value 10 years earlier, a report indicates. Research from Halifax, the country's biggest mortgage lender, suggests the value of private housing stock is continuing to rise steadily. All regions saw at least a doubling in their assets during the past decade. But Northern Ireland led the way with a 262% rise, while Scotland saw the smallest increase of just 112%. The core retail price index rose by just 28% in the same period, underlining how effective an investment in housing has been for most people during the past decade. More than a third of the UK's private housing assets - representing more than a trillion pounds in value - are concentrated in London and the South East, the Halifax's figures indicate. Tim Crawford, Group Economist at Halifax, said: ""The value of the private housing stock continues to grow and the family home remains, by a large margin, the most valuable asset of the majority of households in the UK."" Halifax's own monthly figures on house sales - issued on Thursday - suggest the average price of a British property now stands at Â£163,748 after a 0.8% rise in January. Housing experts are split on prospects for the market, with some saying price growth will slow but not fall, while others predict a sharp drop in values.
","More than a third of the UK's private housing assets - representing more than a trillion pounds in value - are concentrated in London and the South East, the Halifax's figures indicate.Research from Halifax, the country's biggest mortgage lender, suggests the value of private housing stock is continuing to rise steadily.The value of the UK's housing stock reached the Â£3.3 trillion mark in 2004 - triple the value 10 years earlier, a report indicates.Tim Crawford, Group Economist at Halifax, said: ""The value of the private housing stock continues to grow and the family home remains, by a large margin, the most valuable asset of the majority of households in the UK.""",business
5,"Irish company hit by Iraqi report Shares in Irish oil company Petrel Resources have lost more than 50% of their value on a report that the firm has failed to win a contract in Iraq. Reuters news agency reported that Iraq's Oil Ministry has awarded the first post-war oilfield contracts to a Canadian and a Turkish company. By 1700 GMT, Petrel's shares fell from 97p ($1.87) to 44p ($0.85). Petrel said that it has not received any information from Iraqi authorities to confirm or deny the report. Iraq is seeking to award contracts for three projects, valued at $500m (Â£258.5m). Turkey's Everasia is reported by Reuters to have won a contract to develop the Khurmala Dome field in the north of the country. A Canadian company, named IOG, is reported to have won the contract to run the Himrin field. Ironhorse Oil and Gas has denied to Reuters that it is the company in question. These two projects aim to develop Khurmala field to produce 100,000 barrels per day and raise the output of Himrin. The winners of the contract are to build new flow lines and build gas separation stations. The contract to develop the Suba-Luhais field has not yet been awarded as Iraq's Oil Ministry is studying the offers. If Iraq's cabinet approves the oil ministry's choice of companies, then this will be the first deal that Iraq has signed with a foreign oil company. Iraq is still trying to boost its production capacity to match levels last seen in the eighties, before the war with Iran. Oil officials hope to double Iraq's output by the end of the decade.
","Reuters news agency reported that Iraq's Oil Ministry has awarded the first post-war oilfield contracts to a Canadian and a Turkish company.The contract to develop the Suba-Luhais field has not yet been awarded as Iraq's Oil Ministry is studying the offers.Shares in Irish oil company Petrel Resources have lost more than 50% of their value on a report that the firm has failed to win a contract in Iraq.If Iraq's cabinet approves the oil ministry's choice of companies, then this will be the first deal that Iraq has signed with a foreign oil company.Ironhorse Oil and Gas has denied to Reuters that it is the company in question.A Canadian company, named IOG, is reported to have won the contract to run the Himrin field.",business
6,"Profits stall at China's Lenovo Profits at Chinese computer firm Lenovo have stood still amid slowing demand at home and stiffening competition. The firm is in the international spotlight after last year signing a deal to buy the PC division of personal computer pioneer IBM. Lenovo's profit for the three months to December was HK$327m (US$42m; Â£22m), less than 1% up on the year before. Chinese PC sales have risen by a fifth in each of the past two years, but are now growing more slowly. The company is still by far the biggest player in China, with more than a quarter of the market. But Western firms such as Dell and Hewlett-Packard are also mounting a more solid fight for market share in China, and Lenovo's sales were down 3.7% by revenue to HK$6.31bn. If the $1.75bn agreement Lenovo signed with IBM on 8 December goes through, it will mark the end of an era. IBM pioneered the desktop PC market in the early 1980s, although strategic mis-steps helped lose it its early dominance. In any case, margins in PC market are now wafer thin, and profits have been hard to come by for most vendors except direct-sales giant Dell. But investors have been less than impressed with Lenovo's move, designed to take it out of China and further onto the world stage. Its shares are down 20% since the announcement two months ago, largely because of the unprofitability of the unit it is buying. There have been rumours that the deal could be in trouble because US government agencies fear it could offer China opportunities for industrial espionage. The reports of the possibility of an investigation into the risk sent Lenovo's shares up 6% in late January.
","But Western firms such as Dell and Hewlett-Packard are also mounting a more solid fight for market share in China, and Lenovo's sales were down 3.7% by revenue to HK$6.31bn.The firm is in the international spotlight after last year signing a deal to buy the PC division of personal computer pioneer IBM.Lenovo's profit for the three months to December was HK$327m (US$42m; Â£22m), less than 1% up on the year before.The company is still by far the biggest player in China, with more than a quarter of the market.But investors have been less than impressed with Lenovo's move, designed to take it out of China and further onto the world stage.In any case, margins in PC market are now wafer thin, and profits have been hard to come by for most vendors except direct-sales giant Dell.",business
7,"Mild winter drives US oil down 6% US oil prices have fallen by 6%, driven down by forecasts of a mild winter in the densely populated northeast. Light crude oil futures fell $2.86 to $41.32 a barrel on the New York Mercantile Exchange (Nymex), and have now lost $4 in five days. Nonetheless, US crude is still 30% more expensive than at the beginning of 2004, boosted by growing demand and bottlenecks at refineries. Traders ignored the possible effects of Asia's tidal waves on global supplies. Instead, the focus is now on US consumption, which is heavily influenced in the short term by the weather. ""With the revised milder temperatures... I'm more inclined to think we'll push lower and test the $40-40.25 range,"" said John Brady of ABN AMRO. ""The market definitely feels to be on the defensive."" Statistics released last week showed that stockpiles of oil products in the US had risen, an indication that severe supply disruptions may not arise this winter, barring any serious incident. Oil prices have broken records in 2004, topping $50 a barrel at one point, driven up by a welter of worries about unrest in Iraq and Saudi Arabia, rising demand and supply bottlenecks. London's International Petroleum Exchange remained closed for the Christmas holiday.
","US oil prices have fallen by 6%, driven down by forecasts of a mild winter in the densely populated northeast.Statistics released last week showed that stockpiles of oil products in the US had risen, an indication that severe supply disruptions may not arise this winter, barring any serious incident.Oil prices have broken records in 2004, topping $50 a barrel at one point, driven up by a welter of worries about unrest in Iraq and Saudi Arabia, rising demand and supply bottlenecks.Light crude oil futures fell $2.86 to $41.32 a barrel on the New York Mercantile Exchange (Nymex), and have now lost $4 in five days.Nonetheless, US crude is still 30% more expensive than at the beginning of 2004, boosted by growing demand and bottlenecks at refineries.",business
8,"Firms pump billions into pensions Employers have spent billions of pounds propping up their final salary pensions over the past year, research suggests. A survey of 280 schemes by Incomes Data Services' (IDS) said employer contributions had increased from Â£5.5bn to Â£8.2bn a year, a rise of 49.7%. Companies facing the biggest deficits had raised their pension contributions by 100% or more, IDS said. Many firms are struggling to keep this type of scheme open, because of rising costs and increased liabilities. A final salary scheme, also known as a defined benefit scheme, promises to pay a pension related to the salary the scheme member is earning when they retire. The rising cost of maintaining such schemes has led many employers to replace final salary schemes with money purchase, or defined contribution, schemes. These are less risky for employers. Under money purchase schemes, employees pay into a pension fund which is used to buy an annuity - a policy which pays out an income until death - on retirement. IDS said there were some schemes in good health. But, in many cases, firms had been forced to top up funds to tackle ""yawning deficits"". The level of contributions paid by employers has increased gradually since the late 1990s. In 1998/99, for example, contributions rose by 4.7% and in 2002/03 by 8.6%. In contrast, between 1996 and 1998, some employers cut their contribution levels. Helen Sudell, editor of the IDS Pensions Service, said the rise in contributions was ""staggering"" and the highest ever recorded by IDS. ""We have warned before that the widespread closure of final salary schemes to new entrants is just the beginning of a much bigger movement away from paternalistic provision,"" said Ms Sudell. ""With figures like this there can be little doubt that many employers will have to reduce future benefits at some point for those staff still in these schemes.""
","The rising cost of maintaining such schemes has led many employers to replace final salary schemes with money purchase, or defined contribution, schemes.A survey of 280 schemes by Incomes Data Services' (IDS) said employer contributions had increased from Â£5.5bn to Â£8.2bn a year, a rise of 49.7%.A final salary scheme, also known as a defined benefit scheme, promises to pay a pension related to the salary the scheme member is earning when they retire.IDS said there were some schemes in good health.Companies facing the biggest deficits had raised their pension contributions by 100% or more, IDS said.Helen Sudell, editor of the IDS Pensions Service, said the rise in contributions was ""staggering"" and the highest ever recorded by IDS.In contrast, between 1996 and 1998, some employers cut their contribution levels.",business
9,"Bank voted 8-1 for no rate change The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body, minutes have shown. One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - voted to raise rates to 5%. The news surprised some analysts who had expected the latest minutes to show another unanimous decision. Worries over growth rates and consumer spending were behind the decision to freeze rates, the minutes showed. The Bank's latest inflation report, released last week, had noted that the main reason inflation might fall was weaker consumer spending. However, MPC member Paul Tucker voted for a quarter point rise in interest rates to 5%. He argued that economic growth was picking up, and that the equity, credit and housing markets had been stronger than expected. The Bank's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at its latest meeting. However, the minutes added: ""Some members noted that an increase might be warranted in due course if the economy evolved in line with the central projection"". Ross Walker, UK economist at Royal Bank of Scotland, said he was surprised that a dissenting vote had been made so soon. He said the minutes appeared to be ""trying to get the market to focus on the possibility of a rise in rates"". ""If the economy pans out as they expect then they are probably going to have to hike rates."" However, he added, any rate increase is not likely to happen until later this year, with MPC members likely to look for a more sustainable pick up in consumer spending before acting.
","Worries over growth rates and consumer spending were behind the decision to freeze rates, the minutes showed.The Bank's minutes said that risks to the inflation forecast were ""sufficiently to the downside"" to keep rates on hold at its latest meeting.The decision to keep interest rates on hold at 4.75% earlier this month was passed 8-1 by the Bank of England's rate-setting body, minutes have shown.However, MPC member Paul Tucker voted for a quarter point rise in interest rates to 5%.One member of the Bank's Monetary Policy Committee (MPC) - Paul Tucker - voted to raise rates to 5%.However, he added, any rate increase is not likely to happen until later this year, with MPC members likely to look for a more sustainable pick up in consumer spending before acting.",business
